날짜,동이름,세대수,총인구수,남성수,여성수,증감세대수,증감인구수
2018년 6월,도마1동,7797,16358,8339,8019,-129,-293
2018년 6월,도마2동,8457,19526,9879,9647,14,-29
2018년 6월,변동,7466,17020,8671,8349,15,29
2018년 7월,도마1동,7680,16092,8176,7916,-117,-266
2018년 7월,도마2동,8461,19516,9881,9635,4,-10
2018년 7월,변동,7486,17026,8681,8345,20,6
2018년 8월,도마1동,7624,15976,8120,7856,-56,-116
2018년 8월,도마2동,8459,19468,9870,9598,-2,-48
2018년 8월,변동,7477,16944,8633,8311,-9,-82
2018년 9월,도마1동,7594,15912,8081,7831,-30,-64
2018년 9월,도마2동,8467,19441,9839,9602,8,-27
2018년 9월,변동,7483,16897,8602,8295,6,-47
2018년 10월,도마1동,7568,15820,8027,7793,-26,-92
2018년 10월,도마2동,8461,19405,9835,9570,-6,-36
2018년 10월,변동,7509,16890,8598,8292,26,-7
2018년 11월,도마1동,7568,15795,8018,7777,0,-25
2018년 11월,도마2동,8451,19324,9796,9528,-10,-81
2018년 11월,변동,7495,16817,8577,8240,-14,-73
2018년 12월,도마1동,7548,15738,8001,7737,-20,-57
2018년 12월,도마2동,8438,19251,9741,9510,-13,-73
2018년 12월,변동,7503,16813,8570,8243,8,-4
2019년 1월,도마1동,7534,15687,7968,7719,-14,-51
2019년 1월,도마2동,8410,19127,9674,9453,-28,-124
2019년 1월,변동,7535,16806,8582,8224,32,-7
2019년 2월,도마1동,7566,15709,7965,7744,32,22
2019년 2월,도마2동,8419,19041,9629,9412,9,-86
2019년 2월,변동,7549,16750,8546,8204,14,-56
2019년 3월,도마1동,7547,15620,7931,7689,-19,-89
2019년 3월,도마2동,8421,19033,9641,9392,2,-8
2019년 3월,변동,7559,16776,8563,8213,10,26
2019년 4월,도마1동,7544,15613,7918,7695,-3,-7
2019년 4월,도마2동,8389,18953,9605,9348,-32,-80
2019년 4월,변동,7576,16764,8563,8201,17,-12
2019년 5월,도마1동,7570,15625,7907,7718,26,12
2019년 5월,도마2동,8383,18919,9587,9332,-6,-34
2019년 5월,변동,7576,16714,8543,8171,0,-50
2019년 6월,도마1동,7529,15522,7857,7665,-41,-103
2019년 6월,도마2동,8377,18855,9557,9298,-6,-64
2019년 6월,변동,7560,16690,8531,8159,-16,-24
2019년 7월,도마1동,7523,15476,7824,7652,-6,-46
2019년 7월,도마2동,8379,18843,9548,9295,2,-12
2019년 7월,변동,7580,16715,8528,8187,20,25
2019년 8월,도마1동,7531,15417,7801,7616,8,-59
2019년 8월,도마2동,8387,18824,9538,9286,8,-19
2019년 8월,변동,7568,16671,8498,8173,-12,-44
2019년 9월,도마1동,7523,15352,7753,7599,-8,-65
2019년 9월,도마2동,8388,18769,9513,9256,1,-55
2019년 9월,변동,7582,16673,8488,8185,14,2
2019년 10월,도마1동,7555,15359,7747,7612,32,7
2019년 10월,도마2동,8388,18716,9483,9233,0,-53
2019년 10월,변동,7567,16587,8463,8124,-15,-86
2019년 11월,도마1동,7540,15320,7715,7605,-15,-39
2019년 11월,도마2동,8390,18663,9457,9206,2,-53
2019년 11월,변동,7570,16573,8468,8105,3,-14
2019년 12월,도마1동,7520,15262,7679,7583,-20,-58
2019년 12월,도마2동,8361,18611,9414,9197,-29,-52
2019년 12월,변동,7585,16577,8464,8113,15,4
2020년 1월,도마1동,7497,15198,7641,7557,-23,-64
2020년 1월,도마2동,8348,18571,9369,9202,-13,-40
2020년 1월,변동,7595,16557,8447,8110,10,-20
2020년 2월,도마1동,7514,15220,7660,7560,17,22
2020년 2월,도마2동,8375,18579,9395,9184,27,8
2020년 2월,변동,7606,16543,8438,8105,11,-14
2020년 3월,도마1동,7509,15176,7650,7526,-5,-44
2020년 3월,도마2동,8401,18540,9398,9142,26,-39
2020년 3월,변동,7619,16562,8444,8118,13,19
2020년 4월,도마1동,7533,15172,7651,7521,24,-4
2020년 4월,도마2동,8418,18524,9367,9157,17,-16
2020년 4월,변동,7629,16529,8444,8085,10,-33
2020년 5월,도마1동,7564,15169,7651,7518,31,-3
2020년 5월,도마2동,8457,18507,9367,9140,39,-17
2020년 5월,변동,7645,16511,8427,8084,16,-18
2020년 6월,도마1동,7561,15122,7625,7497,-3,-47
2020년 6월,도마2동,8497,18511,9371,9140,40,4
2020년 6월,변동,7635,16454,8413,8041,-10,-57
2020년 7월,도마1동,7574,15111,7623,7488,13,-11
2020년 7월,도마2동,8542,18493,9351,9142,45,-18
2020년 7월,변동,7640,16422,8396,8026,5,-32
2020년 8월,도마1동,7612,15111,7635,7476,38,0
2020년 8월,도마2동,8553,18486,9349,9137,11,-7
2020년 8월,변동,7653,16392,8363,8029,13,-30
