corona,holyday,bok,vacation,temp,rain_ox,rain,subway,store,naver,youtube,thu,wed,mon,sun,sat,tue,mon2,mon3,mon4,mon5,mon6,mon7,mon8,mon9,mon10,mon11,mon12,rain1,rain2,rain3,order
0.0,0.0,0.0,0.0,13.9,1.0,2.803360380906535,80547.0,45.0,13.24978,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,64
0.0,0.0,0.0,0.0,13.1,1.0,0.9932517730102833,123733.0,45.0,6.657635000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,31
0.0,0.0,0.0,0.0,11.0,0.0,0.0,128041.0,45.0,8.931460000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19
0.0,0.0,0.0,0.0,11.9,0.0,0.0,128533.0,45.0,9.810341000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28
0.0,0.0,0.0,0.0,13.6,0.0,0.0,128126.0,45.0,10.47592,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24
0.0,0.0,0.0,0.0,12.2,1.0,3.456316680883235,121369.0,45.0,16.27383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,50
0.0,0.0,0.0,0.0,13.5,1.0,1.547562508716013,88336.0,45.0,18.700129999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,53
0.0,0.0,0.0,0.0,13.5,0.0,0.0,85890.0,45.0,14.64681,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54
0.0,0.0,0.0,0.0,11.7,1.0,3.3068867021909143,121420.0,45.0,7.941536,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,34
0.0,0.0,0.0,0.0,13.7,1.0,0.9162907318741551,122897.0,45.0,8.819492,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,37
0.0,0.0,0.0,0.0,12.1,1.0,1.0647107369924282,122900.0,45.0,13.323877,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,33
0.0,0.0,0.0,0.0,10.3,1.0,1.0296194171811581,123621.0,45.0,10.684855,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,32
0.0,0.0,0.0,0.0,11.2,0.0,0.0,127360.0,45.0,14.118967999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47
0.0,0.0,0.0,0.0,10.0,0.0,0.0,91152.0,45.0,15.770610000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49
0.0,0.0,0.0,0.0,11.9,1.0,0.09531017980432487,80740.0,45.0,13.808589999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,47
0.0,0.0,0.0,0.0,10.8,1.0,2.3608540011180215,122277.0,45.0,9.23102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32
0.0,0.0,0.0,0.0,7.9,1.0,0.5877866649021191,123384.0,45.0,16.306759,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,48
0.0,0.0,0.0,0.0,5.7,1.0,2.272125885509337,123314.0,45.0,12.210545,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30
